jersey,team,name,position,match_id,phase_label,phase_start,phase_end,mean_pqi,median_pqi,std_pqi,n_press_frames,orientation_mean,stance_mean,proximity_mean,press_minutes,coverage_pct
14,1,Luis Fernando Díaz Marulanda,OLM,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
3,1,Minjae Kim,,SGE-FCB,2nd half,3526374,3674654,64.23313581007427,64.82734829133966,15.095190195779274,148281,61.9732793348299,36.225330442515215,95.25408314462581,49.427,1.0
36,1,Wisdom Okpako Mike,,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
17,0,Sepe Elye Delmas Wahi,STL,SGE-FCB,2nd half,3526374,3674654,60.481291295013065,60.97966937847345,16.321251071743458,148281,54.151768820797685,34.62548243366174,94.77646345531824,49.427,1.0
19,0,Jean-Mattéo Bahoya Négoce,OLM,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
30,0,Michy Batshuayi-Atunga,,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
8,0,Farès Chaïbi,DML,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
7,1,Serge David Gnabry,ZO,SGE-FCB,2nd half,3526374,3674654,62.96237681959485,64.39787604118209,16.611187009814646,87932,56.390392138191714,39.845842927513125,94.84155695354744,29.31066666666667,0.5930092189828771
21,0,Nathaniel Brown,LV,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
22,1,Raphaël Adelino José Guerreiro,ZO,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
20,1,Tom Bischof,DMR,SGE-FCB,2nd half,3526374,3674654,61.66240312326397,62.78558720325559,16.574472505179006,148281,54.930998817239725,37.23789589965429,95.06211608823929,49.427,1.0
23,0,Michael Zetterer,,SGE-FCB,2nd half,3526374,3674654,61.17293346377507,62.11969756637565,15.635296360725835,128809,59.65209045790384,30.765381012753604,93.60827658929149,42.93633333333333,0.86868175963205
34,0,Pharrell Nnamdi Collins,,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
3,0,Arthur Nicolas Theate,IVL,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
5,0,Aurèle Florian Amenda,,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
27,0,Mario Götze,ZO,SGE-FCB,2nd half,3526374,3674654,60.11564622586963,60.78448937805461,16.622950472425707,147533,52.481649173750355,35.90339677081847,94.50655841707986,49.17766666666667,0.994955523634181
9,1,Harry Edward Kane,STZ,SGE-FCB,2nd half,3526374,3674654,62.24169279151103,63.34163490055935,16.213031779466313,110293,57.919593157299154,35.13872995026147,95.10745514504308,36.76433333333333,0.7438107377209487
42,1,Lennart Karl,ZO,SGE-FCB,2nd half,3526374,3674654,62.65244613119982,63.87234582186457,15.464204630112755,58957,62.118870885589374,30.47765630697067,95.5386696162429,19.652333333333335,0.3976031993309999
11,1,Nicolas Jackson,STZ,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
26,1,Sven Ulreich,,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
2,1,Dayotchanculle Oswald Upamecano,IVR,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
16,0,Hugo Emanuel Larsson,DMR,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
6,1,Joshua Walter Kimmich,DMR,SGE-FCB,2nd half,3526374,3674654,65.01769064173,66.87680709093917,15.831868225274935,50484,61.375365103745864,39.08481282720172,95.80700250690379,16.828,0.34046169097861495
7,0,Ansgar Knauff,STL,SGE-FCB,2nd half,3526374,3674654,61.803753034127325,62.98155723888864,16.75688696222509,75517,56.545133296612256,34.59294231711644,96.02605673449163,25.17233333333333,0.5092830504245318
40,0,Kauã Morais Vieira dos Santos,TW,SGE-FCB,2nd half,3526374,3674654,,,,0,,,,0.0,0.0
