jersey,team,name,position,match_id,phase_label,phase_start,phase_end,scan_count,total_minutes,awi_per_minute,coverage_pct,mean_pqi,median_pqi,std_pqi,n_press_frames,press_minutes,orientation_mean,stance_mean,proximity_mean,coverage_pct_pqi
22,1,Lorenz Assignon,DRM,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
24,1,Julian Jeffrey Gaston Chabot,IVZ,BVB-VFB,2nd half,2984098,3141386,386,52.43,7.36,0.4744,61.421531267987056,62.592221041608035,17.155034684933504,74624,24.874666666666663,53.22508738623042,38.684085783003525,95.0875685953128,0.4744387719420938
26,1,Deniz Undav,STZ,BVB-VFB,2nd half,2984098,3141386,658,52.43,12.55,1.0,61.70679546077735,62.89279302448183,16.947378890006185,157289,52.42966666666667,54.683001016166926,38.499039810290526,94.2796103707447,1.0
29,1,Finn Jeltsch,IVR,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
30,1,José María Andrés Baixauli,DMR,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
1,1,Fabian Bredlow,,BVB-VFB,2nd half,2984098,3141386,193,52.43,3.68,1.0,68.97312624928054,69.18656104377484,16.220892738259444,157289,52.42966666666667,72.28869948425296,41.7632332363014,91.7622549489631,1.0
2,1,Ameen Al-Dakhil,,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
23,1,Dan-Axel Zagadou,,BVB-VFB,2nd half,2984098,3141386,608,52.43,11.6,1.0,63.70900264501674,64.57180749744468,15.373778150032567,157289,52.42966666666667,60.59320590936652,36.1369966949447,95.4354042426224,1.0
27,1,Badredine Bouanani,,BVB-VFB,2nd half,2984098,3141386,233,52.43,4.44,0.3893,58.89244905955797,60.138113651715685,17.867646878205885,61228,20.409333333333333,48.90337912851698,36.167238057317256,94.9364199698533,0.3892707055165968
3,1,Ramon Hendriks,IVL,BVB-VFB,2nd half,2984098,3141386,564,52.43,10.76,1.0,62.28163462621678,63.48907011937598,15.793547160635232,157289,52.42966666666667,58.12195974434846,34.82886643653115,95.28063599172684,1.0
4,1,Josha Mamadou Karaboue Vagnoman,DLM,BVB-VFB,2nd half,2984098,3141386,616,52.43,11.75,0.9952,62.55834907758983,63.196446820698434,17.000986636665374,156529,52.17633333333333,56.00863545050711,38.392634010726496,95.45701564723012,0.995168130002734
