jersey,team,name,position,match_id,phase_label,phase_start,phase_end,scan_count,total_minutes,awi_per_minute,coverage_pct,hbd_mean_deg,hbd_n_frames,scan_forward_pct,scan_lateral_pct,scan_blindside_pct,n_classified_scans,pre_pass_awi,pre_pass_scan_pct,n_passes_tracked
18,1,Jamie Leweling,DLM,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
22,1,Lorenz Assignon,DRM,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
24,1,Julian Jeffrey Gaston Chabot,IVZ,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
26,1,Deniz Undav,STZ,BVB-VFB,1st half,2790134,2935531,653,48.47,13.47,1.0,14.52,145394,0.9862,0.0046,0.0092,653,15.27,0.0611,11
29,1,Finn Jeltsch,IVR,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
30,1,José María Andrés Baixauli,DMR,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
1,1,Fabian Bredlow,,BVB-VFB,1st half,2790134,2935531,184,48.47,3.8,1.0,12.5,145398,0.9891,0.0109,0.0,184,,,0
2,1,Ameen Al-Dakhil,,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
23,1,Dan-Axel Zagadou,,BVB-VFB,1st half,2790134,2935531,645,48.47,13.31,1.0,14.88,145398,0.9938,0.0062,0.0,645,,,0
27,1,Badredine Bouanani,,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
3,1,Ramon Hendriks,IVL,BVB-VFB,1st half,2790134,2935531,533,48.47,11.0,1.0,14.59,145398,0.9887,0.0075,0.0038,533,,,0
4,1,Josha Mamadou Karaboue Vagnoman,DLM,BVB-VFB,1st half,2790134,2935531,499,48.47,10.3,0.9953,16.74,144718,0.996,0.004,0.0,499,,,0
10,1,Chris Jan Führich,OHL,BVB-VFB,1st half,2790134,2935531,472,48.47,9.74,0.9973,15.68,145001,0.9958,0.0,0.0042,472,,,0
16,1,Atakan Karazor,DMR,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
28,1,Nikolas Terkelsen Nartey,DMR,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
1,0,Gregor Kobel,TW,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
3,0,Waldemar Anton,IVR,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
4,0,Nico Cedric Schlotterbeck,IVL,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
7,0,Jobe Samuel Patrick Bellingham,DMR,BVB-VFB,1st half,2790134,2935531,802,48.47,16.55,1.0,15.68,145398,0.995,0.0037,0.0012,802,18.72,0.096,25
8,0,Felix Kalu Nmecha,DML,BVB-VFB,1st half,2790134,2935531,684,48.47,14.11,1.0,15.03,145398,0.9898,0.0073,0.0029,684,17.71,0.091,21
9,0,Serhou Yadaly Guirassy,STZ,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
10,0,Julian Brandt,OHR,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
14,0,Maximilian Beier,DLM,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
17,0,Carney Chibueze Chukwuemeka,OHL,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
23,0,Emre Can,IVZ,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
26,0,Julian Ryerson,DRM,BVB-VFB,1st half,2790134,2935531,608,48.47,12.54,1.0,16.59,145398,0.9951,0.0016,0.0033,608,11.4,0.0478,20
2,0,Yan Bueno Couto,,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
6,0,Salih Özcan,,BVB-VFB,1st half,2790134,2935531,609,48.47,12.57,1.0,16.39,145398,0.9984,0.0016,0.0,609,,,0
13,0,Pascal Groß,,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
20,0,Marcel Sabitzer,,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
28,0,Aarón Anselmino,,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
33,0,Alexander Niklas Meyer-Schade,,BVB-VFB,1st half,2790134,2935531,232,48.47,4.79,1.0,15.54,145398,0.9914,0.0086,0.0,232,,,0
21,0,Fabio Daniel Soares Silva,OHL,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
24,0,Daniel Jonathan Svensson,DLM,BVB-VFB,1st half,2790134,2935531,518,48.47,10.69,1.0,16.91,145398,0.9923,0.0039,0.0039,518,,,0
27,0,Karim David Adeyemi,OHR,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,0,,,,0,,,0
33,1,Alexander Nübel,TW,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
6,1,Angelo Stiller,DML,BVB-VFB,2nd half,2984098,3141386,0,0.0,0.0,0.0,,0,,,,0,,,0
7,1,Maximilian Mittelstädt,IVL,BVB-VFB,2nd half,2984098,3141386,734,52.43,14.0,1.0,15.25,157289,0.9946,0.0027,0.0027,734,20.4,0.0898,20
