jersey,team,name,position,match_id,phase_label,phase_start,phase_end,mean_pqi,median_pqi,std_pqi,n_press_frames,orientation_mean,stance_mean,proximity_mean,press_minutes,coverage_pct
7,0,Jobe Samuel Patrick Bellingham,DMR,BVB-VFB,2nd half,2984098,3141386,61.19897449733072,62.448018533847545,16.532933361662174,103797,56.1757678030986,34.19900165585912,94.89655626444517,34.599000000000004,0.6599126448766284
20,0,Marcel Sabitzer,,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
4,1,Josha Mamadou Karaboue Vagnoman,DLM,BVB-VFB,2nd half,2984098,3141386,62.55834907758983,63.196446820698434,17.000986636665374,156529,56.00863545050711,38.392634010726496,95.45701564723012,52.17633333333333,0.995168130002734
28,1,Nikolas Terkelsen Nartey,DMR,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
9,0,Serhou Yadaly Guirassy,STZ,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
8,1,Tiago Barreiros de Melo Tomás,OHR,BVB-VFB,2nd half,2984098,3141386,63.3000366146879,64.51257075998541,16.507040773694083,156609,55.27467782165299,40.91692906446747,96.38362255562156,52.203,0.9956767478971827
30,1,José María Andrés Baixauli,DMR,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
33,0,Alexander Niklas Meyer-Schade,,BVB-VFB,2nd half,2984098,3141386,65.83982375066593,66.64066065311232,16.494457412407478,156912,67.51734879714752,38.29957067693467,91.14337676242174,52.303999999999995,0.9976031381724088
1,1,Fabian Bredlow,,BVB-VFB,2nd half,2984098,3141386,68.97312624928054,69.18656104377484,16.220892738259444,157289,72.28869948425296,41.7632332363014,91.7622549489631,52.42966666666667,1.0
10,1,Chris Jan Führich,OHL,BVB-VFB,2nd half,2984098,3141386,61.671761839900356,62.69376702796842,17.298280073472778,82177,55.20131824389094,36.42648149222588,95.5443003155874,27.392333333333333,0.5224586589017668
2,0,Yan Bueno Couto,,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
13,0,Pascal Groß,,BVB-VFB,2nd half,2984098,3141386,,,,0,,,,0.0,0.0
24,0,Daniel Jonathan Svensson,DLM,BVB-VFB,2nd half,2984098,3141386,60.784437702497314,61.93064293583896,16.4242417045824,157289,57.08347666286473,31.275027403683623,95.22846272082116,52.42966666666667,1.0
26,0,Julian Ryerson,DRM,BVB-VFB,2nd half,2984098,3141386,58.740303264245185,59.88455721822126,16.819572016997594,157289,51.75091037593584,31.25064997909172,95.54914706714442,52.42966666666667,1.0
6,0,Salih Özcan,,BVB-VFB,2nd half,2984098,3141386,61.10680638247339,62.44677320950875,16.39258129046591,143677,56.64529601101917,31.8113889117234,96.35090434849567,47.89233333333333,0.9134586652594904
23,1,Sacha Boey,RV,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
45,1,Aleksandar Pavlović,DML,FCB-HSV,1st half,3330943,3484329,62.73198352962961,63.94994230964856,16.180319521992246,150179,57.88438850574985,36.184697692169195,95.74272939892973,50.059666666666665,0.9790855809162444
27,1,Konrad Laimer,RV,FCB-HSV,1st half,3330943,3484329,59.36691321001595,59.89354230921181,16.750371267702846,152539,49.01118353900328,37.43688303978323,95.10458294159888,50.846333333333334,0.994471500192324
14,1,Luis Fernando Díaz Marulanda,OLM,FCB-HSV,1st half,3330943,3484329,58.954233388089335,59.6053593309388,16.74588417279094,150663,49.875399220552765,35.48888918704924,94.52468981251155,50.221,0.9822409982593048
3,1,Minjae Kim,,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
17,0,Warmed Omari,IVR,FCB-HSV,1st half,3330943,3484329,59.51311198175604,59.69741328287475,16.439965174491906,152047,49.75414904936134,37.21831143299441,94.81986310704391,50.68233333333333,0.9912639271907008
28,0,Miro Max Maria Muheim,DLM,FCB-HSV,1st half,3330943,3484329,58.43966230708566,58.97372537544818,16.457802543991875,152803,48.34990889416114,34.99372725490984,95.33860190982752,50.934333333333335,0.9961926369249025
8,0,Daniel Elfadli,IVL,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
1,0,Daniel Heuer Fernandes,TW,FCB-HSV,1st half,3330943,3484329,67.47777216348067,67.51795408869215,14.979880332121557,152755,72.81586625478509,35.390644818698306,92.44744071985713,50.91833333333333,0.9958797029735244
7,1,Serge David Gnabry,ZO,FCB-HSV,1st half,3330943,3484329,60.51625810559301,61.38824023710863,16.602998420596844,152611,52.9830622437945,35.309282969108615,95.76749439114208,50.87033333333333,0.9949409011193908
40,1,Jonas Kurt Urbig,,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
21,0,Nicolai Remberg,DMR,FCB-HSV,1st half,3330943,3484329,63.73074354504115,64.74776321927061,16.359406128958693,153387,57.5787806393308,39.806994708526794,95.85710958916933,51.129,1.0
22,1,Raphaël Adelino José Guerreiro,LV,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
20,1,Tom Bischof,LV,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
23,0,Jonas Meffert,DMR,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
45,0,Fabio Amado Uri Baldé,RA,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
3,0,Noah Katterbach,,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
14,0,Rayan Philippe,LA,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
9,1,Harry Edward Kane,STZ,FCB-HSV,1st half,3330943,3484329,60.68037072668882,61.603360765138675,17.038671816119233,150119,52.669911619487,36.58670480777005,95.45464878854337,50.03966666666667,0.978694413477022
42,1,Lennart Karl,ORM,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
11,1,Nicolas Jackson,STZ,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
44,1,Josip Stanišić,LV,FCB-HSV,1st half,3330943,3484329,59.96798781990516,60.634269100612784,16.568617329266402,152227,52.92302665522721,35.15278006701947,94.1764771256948,50.742333333333335,0.9924374295083678
26,1,Sven Ulreich,,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
2,1,Dayotchanculle Oswald Upamecano,IVR,FCB-HSV,1st half,3330943,3484329,62.631292148811326,63.45881710493156,15.882221500524064,152103,58.47745159223037,35.7892812656506,95.01175710741336,50.701,0.9916290168006416
